axis	subject	key_fact	verdict	attribution	receipt
vendor_oracle	sles_15sp7_x86_64	lineage=tzcode_zic · zic (tzcode) 2025b · ships sles-timezone-2025b-150600.91.6.2	admitted (4-5/5 class+location)	vendor_zic	research/.../receipts/sles_15sp7_x86_64.json
vendor_oracle	smartos_20260528_x86_64	lineage=tzcode_zic · zic (tzcode) 2025a · ships 2026b-byte-witnessed	admitted (4-5/5 class+location)	vendor_zic	research/.../receipts/smartos_20260528_x86_64.json
vendor_oracle	ubuntu_2404_x86_64	lineage=glibc_zic · zic (Ubuntu GLIBC 2.39-0ubuntu8.7) 2.39 · ships ubuntu-tzdata-2026a-0ubuntu0.24.04.1	admitted (4-5/5 class+location)	vendor_zic	research/.../receipts/ubuntu_2404_x86_64.json
vendor_oracle	yocto_poky_buildhost_native_zic_x86_64	lineage=tzcode_zic · zic (tzcode) 2026b · ships oe-core-timezone-2026b	admitted (4-5/5 class+location)	vendor_zic	research/.../receipts/yocto_poky_buildhost_native_zic_x86_64.json
vendor_oracle	yocto_poky_target_runtime_x86_64	lineage=vendor_fork/none · no on-device zic · ships oe-core-timezone-2026b (tzdata → target /usr/share/zoneinfo, precompiled)	unavailable	vendor_zic	research/.../receipts/yocto_poky_target_runtime_x86_64.json
drop_in	cross-filesystem/rootless materialization (CROSS-FS.1)	zic-rs materialization is deterministic + safe across environments: bundle_hash 453641ff IDENTICAL on two distinct ext4 filesystems + tmpfs; copy tree survives cross-fs relocation (cp -a, hash unchanged); --link-mode symlinks are RELATIVE and resolve after relocation; rootless (uid!=root) works. The hardlink-fragility rationale is DEMONSTRATED: reference hardlink sharing (341 inodes) breaks on a naive cross-fs copy (->598 inodes, overlayfs copy-up proxy) while zic-rs copy/symlink have nothing to break. 9/9 deterministic-and-safe, 0 broken. (FAT/case-insensitive/overlayfs-proper need root to mount; proxied/deferred honestly.)	deterministic-and-safe-cross-fs	zic_rs	reports/cross-fs/RECEIPT-CROSS-FS-1.md
drop_in	link-materialization footprint (LINK-MATERIALIZATION.1)	MEASURED copy vs symlink vs reference-hardlink for tzdata.zi 2026b: installed du = hardlink 200KiB / copy 426KiB (2.13x) / symlink 246KiB (1.23x); but the SHIPPED xz-compressed package = hardlink 44.7KB / copy 47.2KB (1.057x, +2.5KB) / symlink 46.5KB — the compressor dedups identical content, so copy-not-hardlink barely affects the .rpm/.deb/.tar.lz package size. --link-mode symlink recovers most installed footprint. zic-rs copies for relocatability (no shared-inode/overlay-copy-up fragility); the policy choice is now evidence-backed.	measured-footprint-tradeoff	zic_rs	reports/link-materialization/RECEIPT-LINK-MATERIALIZATION-1.md
drop_in	packager policy compatibility (PACKAGER-POLICY.1)	distro packaging-policy matrix: 4 works-with-shim (Debian/RPM/Alpine/Arch) · 2 requires-recipe-adaptation (FreeBSD ports/pkgsrc — recipe authoring, not policy denial) · 0 blocked-by-policy. Distribution = crates.io SOURCE crate (cargo install), NO binary release — every recipe builds zic-rs from the crate (Tier-3 source-builds prove this per platform), then shims the $(ZIC) slot. localtime stays in post-install scripts (not build-time -t); rootless packaging DEMONSTRATED under fakeroot (1199-file staged tree, root:root). Required adaptations named; no distro requires an upstream binary.	works-with-shim-or-recipe-adaptation	zic_rs	reports/packager-policy/RECEIPT-PACKAGER-POLICY-1.md
drop_in	install-semantics parity (INSTALL-SEMANTICS.1)	13 package-relevant install scenarios vs reference zic (staged root, no host mutation): 9 match · 2 install-policy-difference (atomic no-clobber; copy-not-hardlink) · 1 safer-no-partial · 1 unsupported-by-design (-p) · 0 divergent. FOUND+FIXED a real divergence: zic-rs created files at base mode 0666 (world-writable under umask 000) vs reference 0644 → now 0644 base (matches reference + never world-writable; CORE.1 byte-unchanged; +1 regression test). umask/-m/-D/symlink-outside-root all match.	match-or-safer-install	zic_rs	reports/install-semantics/RECEIPT-INSTALL-SEMANTICS-1.md
drop_in	package-build slot acceptance (PACKAGE-ACCEPTANCE.1)	zic-rs occupies the $(ZIC) slot of the canonical tzdata package build (via an argv-compat shim; distributed as a crates.io source crate, no binary release) → posix + right trees: 598/598 identical file set, 6/6 fixture behaviour-match, permissions match (644), 0 divergent. Differences are all documented bucket-3 SAFER install policies: ref HARDLINKS links / zic-rs COPIES (relocatable); zic-rs REFUSES an absolute -t (ZIC008) but accepts a safe relative name under --out. Staged DESTDIR, no host mutation; bundle_hash 453641ff (same as every drop-in env).	behaviour-identical-safer-install	drop_in_environment	reports/package-acceptance/RECEIPT-PACKAGE-ACCEPTANCE-1.md
drop_in	installed-tree determinism	zic-rs bundle_hash 453641ff2568d8b1 byte-IDENTICAL across 15+ OS/build environments (host·container·VM·BSD·illumos·source-builds)	byte-identical-tree	drop_in_environment	reports/drop-in/RECEIPT-matrix.md
reader	glibc-localtime	reads zic-rs output vs reference	match	reader	reports/reader-compat/RECEIPT-T23-reader-compat-3.md
reader	go-time	reads zic-rs output vs reference	match	reader	reports/reader-compat/RECEIPT-T23-reader-compat-3.md
reader	cctz-absl	reads zic-rs output vs reference	match	reader	reports/reader-compat/RECEIPT-T23-reader-compat-3.md
reader	java/php/icu	reads zic-rs output vs reference	unsupported	unsupported_by_design	reports/reader-compat/RECEIPT-T23-reader-compat-3.md
